0	0,00E+00	0,00E+00	0,00E+00
0,1	-2,78E-02	4,45E-02	7,97E-02
0,2	-6,00E-02	8,72E-02	1,58E-01
0,3	-9,64E-02	1,26E-01	2,32E-01
0,4	-1,37E-01	1,57E-01	2,97E-01
0,5	-1,80E-01	1,81E-01	3,51E-01
0,599999	-2,24E-01	1,96E-01	3,92E-01
0,699998	-2,69E-01	2,01E-01	4,18E-01
0,799997	-3,11E-01	1,96E-01	4,30E-01
0,899996	-3,48E-01	1,84E-01	4,28E-01
0,999995	-3,78E-01	1,65E-01	4,13E-01
1,1	-3,98E-01	1,42E-01	3,87E-01
1,2	-4,06E-01	1,16E-01	3,52E-01
1,3	-4,00E-01	9,01E-02	3,11E-01
1,4	-3,80E-01	6,56E-02	2,65E-01
1,5	-3,44E-01	4,42E-02	2,18E-01
1,6	-2,94E-01	2,69E-02	1,70E-01
1,7	-2,32E-01	1,42E-02	1,23E-01
1,8	-1,60E-01	5,94E-03	7,87E-02
1,9	-8,10E-02	1,52E-03	3,75E-02
2	0,00E+00	0,00E+00	0,00E+00
			
			
0	0,00E+00	0,00E+00	0,00E+00
0,1	1,00E+01	-4,40E+01	1,27E+01
0,2	2,56E+01	-8,62E+01	2,78E+01
0,3	4,42E+01	-1,24E+02	4,54E+01
0,4	6,37E+01	-1,56E+02	6,55E+01
0,5	8,21E+01	-1,81E+02	8,78E+01
0,599999	9,83E+01	-1,97E+02	1,12E+02
0,699998	1,12E+02	-2,06E+02	1,36E+02
0,799997	1,25E+02	-2,08E+02	1,60E+02
0,899996	1,37E+02	-2,03E+02	1,82E+02
0,999995	1,51E+02	-1,93E+02	2,00E+02
1,1	1,67E+02	-1,80E+02	2,12E+02
1,2	1,85E+02	-1,62E+02	2,19E+02
1,3	2,01E+02	-1,43E+02	2,17E+02
1,4	2,13E+02	-1,22E+02	2,07E+02
1,5	2,16E+02	-1,01E+02	1,88E+02
1,6	2,04E+02	-7,88E+01	1,61E+02
1,7	1,76E+02	-5,72E+01	1,27E+02
1,8	1,31E+02	-3,65E+01	8,76E+01
1,9	7,06E+01	-1,72E+01	4,44E+01
2	0,00E+00	0,00E+00	0,00E+00
